id,tweet,datetime
1110575942265720832,"Nothing like some Caribbean flavour to light up the @IPL 💥🙌🏻

#CricketMeriJaan #MumbaiIndians #RCBvMI https://t.co/22DBKkvUGv",2019-03-26 16:15:12
1110575890692399104,"Mocked JD(S)-Congress for ticket tussle; Now double dissent for BJP.

Join @PadmajaJoshi @thenewshour at 10 PM on T… https://t.co/C7B4gIo0td",2019-03-26 16:15:00
1110575739416412160,It is a great experience to join a national party: Jaya Prada in conversation with @navikakumar. |… https://t.co/nyXkXoLOpH,2019-03-26 16:14:24
1110575656394358784,"A decent score on a sluggish wicket. Come on Dilli, let's win this ❤

#ThisIsNewDelhi #DelhiCapitals #DCvCSK https://t.co/ZQMC6edkP5",2019-03-26 16:14:04
1110575651801579520,#IPL2019 #DCvCSK Dwayne Bravo picked up 3 wickets to keep Delhi Capitals to 147/6 off their 20 overs. Can Chennai S… https://t.co/y8ORuxDO25,2019-03-26 16:14:03
1110575336142495744,"#IndiaElects #LokSabhaElections2019
The frameworks for both manufacturing and service sector have to be formed rath… https://t.co/DZVxTh5yIO",2019-03-26 16:12:48
1110575189161439232,"Innings Break!

Clinical bowling from @ChennaiIPL restrict @DelhiCapitals to a total of 147/6 in 20 overs. In how m… https://t.co/UTJ8oE3wVj",2019-03-26 16:12:13
1110574965865304064,"RT @CricketNDTV: IPL 2019: Delhi Capitals 147/6 in 20 overs (Shikhar Dhawan 51; Dwayne Bravo 3/33) against Chennai Super Kings

#IPL2019 #D…",2019-03-26 16:11:20
1110574895950229505,148 to win the Dilli encounter! #WhistlePodu #Yellove #DCvCSK 🦁💛,2019-03-26 16:11:03
1110574864883081216,Everyone knows in what circumstances I chose this path: Jaya Prada in conversation with @navikakumar. |… https://t.co/hfkcUhABdp,2019-03-26 16:10:55
1110574803163860992,"Dwayne Bravo's spell restircts @DelhiCapitals to 147 after @SDhawan25 50

DC: 147/6 in 20 overs

#DCvCSK 

Live: https://t.co/SbrICGoIgV",2019-03-26 16:10:41
1110574760344223750,"RT @Showbiz_IT: #EmiliaClarke overwhelmed by fans support after opening up about aneurysms
https://t.co/zdiGlba2Oj https://t.co/jzxyTMa5gl",2019-03-26 16:10:31
1110574631394533379,RBI developing app for the visually impaired to identify new notes: Things to know https://t.co/PWPyFrt9Jk https://t.co/hGBbfkiAX3,2019-03-26 16:10:00
1110574615447769088,"#DC finish with 147/6 in 20 overs. 

Chalo bowlers, over to you now. Defend karna hai yeh total! 💪

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 16:09:56
1110574377081307136,There is a strong polarisation game these people are playing: @RatanSharda55 Author | #RahulFearsAmethi https://t.co/7OOhD4uFb5,2019-03-26 16:08:59
1110574046343659520,"YES RAHUL!!! He guides a full-toss past Watson for four! COME ON! 💪

#DC - 144/6 in 19.2 overs.

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 16:07:40
1110574015364513797,"RT @htshowbiz: After Anushka Sharma, Jacqueline Fernandez finds her doppelganger. See their pics
#jacquelinefernandez
https://t.co/d0aCxQTE…",2019-03-26 16:07:33
1110573868337369088,"Double to start the final over. Chalo bhai Rahul, need some boundaries! 

#DC - 140/6 in 19.1 overs.

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 16:06:58
1110573768362115072,"Match 5. 19.2: DJ Bravo to R Tewatia, 4 runs, 144/6 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:06:34
1110573685688029184,"RT @CricketNDTV: IPL 2019: FOUR! Much needed boundary for Delhi Capitals. The hosts are 138/6 with one over to go

#IPL2019 #DCvCSK

Live U…",2019-03-26 16:06:14
