id,tweet,datetime
1110606578137423873,வரவேற்றது வேணும்னா நீங்களா இருக்கலாம் ஆனா வழியனுப்பி வைக்கிறது எப்பவுமே நாங்கதான் காற்றைக்கிழித்து பறக்கும் என்… https://t.co/QAZgOhTPCa,2019-03-26 18:16:56
1110606406128934912,Consulted Raghuram Rajan On Minimum Income Guarantee Scheme: Rahul Gandhi https://t.co/0vA59yGTgM #NDTVNewsBeeps… https://t.co/SMWkYSs4wl,2019-03-26 18:16:15
1110606347542773761,Yappppppppa @ChennaiIPL #IPLT20 #csk https://t.co/qb5pYZuTC5,2019-03-26 18:16:01
1110606267968421888,Our bowlers tried their best to slow the game down in the middle overs but victory went #CSK's way. On to the next… https://t.co/mII2x8COuD,2019-03-26 18:15:43
1110606121985691648,"#IPL2019 | Bravo, Watson lead CSK to convincing win against Delhi

#DCvCSK

(via @HTSportsNews) 

https://t.co/oKXLhsvFtB",2019-03-26 18:15:08
1110606089538678784,"Ahead of the Lok Sabha polls, PDP president Mehbooba Mufti said that if voted to power her party will revoke the ba… https://t.co/Bfiik8ex05",2019-03-26 18:15:00
1110605837515608064,"#Hyderabad | On noticing the sleuths, Assistant Public Prosecutor Shakeel Ansari tore the currency notes and flushe… https://t.co/IXXJ8zbK4E",2019-03-26 18:14:00
1110605796931334144,The lions walking away with the win from the Capital! #WhistlePodu #Yellove 🦁💛#DCvCSK https://t.co/KKGOYb8zNc,2019-03-26 18:13:50
1110605463576440832,"Candidate, drunk, files poll nomination in Bihar, where alcohol is banned https://t.co/vEiBy9JojK https://t.co/9qxM6pn0E5",2019-03-26 18:12:31
1110605427719327744,RT @ITGDsports: #IPL2019 #DCvCSK Chennai Super Kings (150/4) beat Delhi Capitals (147/6) by 6 wickets at Feroz Shah Kotla. Shane Watson (44…,2019-03-26 18:12:22
1110605337545957378,"🙌🙌🙌

#VIVOIPL https://t.co/FDl4Fj36gG",2019-03-26 18:12:01
1110605243841036288,"#ShreyasIyer: It's part and parcel of the game. We took it to the last over and that was a plus point. 

#DCvCSK… https://t.co/74uri1TNis",2019-03-26 18:11:38
1110605214430703616,"#IPL2019 #DCvCSK Chennai Super Kings have now both their matches this season
https://t.co/gaeOR9QFuk",2019-03-26 18:11:31
1110605124462796801,"#ShreyasIyer: It happens. You can't blame anyone in this situation. 

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 18:11:10
1110605097732440064,"RT @ndtvfeed: Hema Malini Has Assets Worth Over Rs 101 Crore, Discloses Affidavit https://t.co/eqREBC5j37",2019-03-26 18:11:04
1110605025619775488,#ShreyasIyer: We knew the wicket was going to get slower. That's how we decided it would be good to bat first.… https://t.co/8XRCb0xVkJ,2019-03-26 18:10:46
1110604885530021888,"RT @ndtvfeed: High Court Stays Circular Banning Manufacturing, Sale Of E-Cigarettes https://t.co/rNRAY0F9bb",2019-03-26 18:10:13
1110604830710616065,"Trump doubles down on Obamacare fight, asks court to overturn law https://t.co/MnGgzeYA3t via @TOIWorld https://t.co/6LP8atD3cs",2019-03-26 18:10:00
1110604830702219264,A Delhi court on Tuesday issued a non-bailable warrant against real estate tycoons Gopal Ansal and Sushil Ansal for… https://t.co/KV7xPZE9PA,2019-03-26 18:10:00
