id,tweet,datetime
1110601417662722048,"⚡️⚡️! 11 off 12 required now! #WhistlePodu #Yellove #DCvCSK 🦁
💛",2019-03-26 17:56:26
1110601252465856512,Those cut shots thankfully prevent the nailcuts! #WhistlePodu #Yellove #DCvCSK 🦁💛,2019-03-26 17:55:47
1110601069019742208,"#IndiaElects #LokSabhaElections2019
Tejasvi played an active role in PM Narendra Modi's 2014 Lok Sabha elections ca… https://t.co/kMjVfJfFqr",2019-03-26 17:55:03
1110601068180848640,"RT @ndtvfeed: Shatrughan Sinha To Join Congress On March 28, Says Party Leader https://t.co/0Tj2f6ESGN",2019-03-26 17:55:03
1110601055555862528,The Finance Ministry has sought the Election Commission's approval for announcing the government's borrowing progra… https://t.co/imVpY38CkV,2019-03-26 17:55:00
1110600966707908609,"RT @moviesndtv: The Trend Of Making Biopics Is A 'Result Of Mob Behaviour,' Says This Director
https://t.co/PUzARAiAyt https://t.co/NTNFlk3…",2019-03-26 17:54:39
1110600895312605184,"Match 5. 17.5: K Paul to MS Dhoni, 4 runs, 135/3 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 17:54:22
1110600204682551296,".@LRC_NDTV | Former RBI Governor Raghuram Rajan speaks to NDTV

Watch full interview here: https://t.co/Ij77lEb7Ev https://t.co/N3CLoQRuXz",2019-03-26 17:51:37
1110600097916555264,"RT @CricketNDTV: IPL 2019: Axar Patel bowls an economical over for Delhi Capitals, concedes just 1 run. Chennai Super Kings are 126/3 in 17…",2019-03-26 17:51:11
1110600079990116352,"0⃣0⃣0⃣0⃣0⃣1⃣

Excellent over by @akshar2026. 3 to go. 

#CSK need 22 runs in 18 balls.  

#DCvCSK #ThisIsNewDelhi #DelhiCapitals",2019-03-26 17:51:07
1110600018631614464,That time of the match! Getting the BP tablets ready already?! #WhistlePodu #TabletPodu #Yellove #DCvCSK 🦁💛 https://t.co/UztJv8v48l,2019-03-26 17:50:53
1110599797961080834,Jet Airways hopes to get 40 grounded planes back from lessors by April-end https://t.co/W2Hxjldzv6 via @TOIBusiness,2019-03-26 17:50:00
1110599797696876547,An independent candidate with dreams of becoming a lawmaker in #Bihar found himself on the wrong side of law and wa… https://t.co/KKObEnXQEf,2019-03-26 17:50:00
1110599603970179072,".@LRC_NDTV | “There is a huge hunger for good jobs”: Former RBI Governor Raghuram Rajan to NDTV

Watch full intervi… https://t.co/LAKaMyysBH",2019-03-26 17:49:14
1110599072648314880,"All roads would lead to #EdenGardens tomorrow!

#KKRvKXIP #KKRHaiTaiyaar https://t.co/gFis8IBI1p",2019-03-26 17:47:07
1110598676957675520,125/3 in 16 for the Men in #Yellove. 23 required off the next 4 overs! #WhistlePodu #DCvCSK #Yellove 🦁💛,2019-03-26 17:45:33
1110598538935721984,Niti Aayog and ABB India on Tuesday organised a workshop to discuss regulatory and financial concerns relating to t… https://t.co/Mckgs23NqH,2019-03-26 17:45:00
