id,tweet,datetime
1111094016735481858,"""Have Congress workers' support,"" says BJP's Nitin Gadkari ahead of #LokSabhaElections2019 https://t.co/XJpTjPU30T… https://t.co/2K4zhxhVgj",2019-03-28 02:33:51
1111093872875102208,WATCH | @Swatij14 takes us through the headlines in हिंदी on TIMES NOW. https://t.co/fDYfsWcyv7,2019-03-28 02:33:17
1111093803522224128,"Soaring airline fares to stabilise in April with more jets in air, @FaiHaider reports 

https://t.co/uK9pL2zZG9 https://t.co/L4X1UKzufv",2019-03-28 02:33:00
1111093392941948929,"RT @timesnowsports: Two massive errors from skipper R Ashwin that cost KXIP the game against KKR at Eden Gardens

https://t.co/CNOSAWbKKQ h…",2019-03-28 02:31:22
1111093372150648832,"BJP targets Delhi, Bengal for not implementing PM-KISAN

https://t.co/101TeVbJys

@seemagoswami, @ziahaq report https://t.co/u1qnLq222N",2019-03-28 02:31:17
1111093051219337217,"Earlier this month, the CAA partially opened the country's airspace after keeping it closed for several hours follo… https://t.co/BdvurMweHX",2019-03-28 02:30:01
1111093048308649986,"Analysis |  Can Congress, JD-S clinch a win in Karnataka? @vikramgopal811 finds out

https://t.co/zm9AA8MWEj… https://t.co/HYpDoam7FG",2019-03-28 02:30:00
1111093048191008774,"🔴🔵 It's MATCHDAY today in the Garden City 🌟

#OneFamily #CricketMeriJaan #MumbaiIndians #RCBvMI @YUVSTRONG12… https://t.co/FcICgIdj7v",2019-03-28 02:30:00
1111093047138217984,"This week on the #GrandTamasha podcast | @irfannooruddin on the  Congress Party’s coalition dilemma

With… https://t.co/9T4Db52XlN",2019-03-28 02:30:00
1111093001357541377,YOU SHARE YOUR BIRTHDAY WITH... https://t.co/KqzJ2lX5QF,2019-03-28 02:29:49
1111092639128969216,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/Xg9GCSIYfF",2019-03-28 02:28:22
1111092363802234881,British lawmakers vote against all alternative #Brexit options https://t.co/NAdsCpY5kM https://t.co/JcO5XCXWOc,2019-03-28 02:27:17
1111092025573564416,"Poll campaign focus on Sabarimala row

https://t.co/D1Yr1JM760

#LoksabhaElections2019 
#ElectionsWithHT https://t.co/VFuUX0Ihjt",2019-03-28 02:25:56
1111091938118328323,"School in Dehradun buries boy’s body to hush up murder 

READ: https://t.co/2iATew0gca https://t.co/5z2Vn6gc6T",2019-03-28 02:25:35
1111091707389476864,"RT @timesnowsports: #IPL2019

'Mankad' turns talking point once again as match picture from #KKRvsKXIP game goes viral

https://t.co/xvf8Fm…",2019-03-28 02:24:40
1111091278752567296,Analysis | NDA vote share rising in Kerala but will it win them seats? @vijdankawoosa writes… https://t.co/BubIUbPUvK,2019-03-28 02:22:58
1111091089090318336,RT @NDTVElections: No Transparency In Electoral Bonds: Poll Panel Tells Supreme Court: The Election Commission… https://t.co/DO8w6VBeRp,2019-03-28 02:22:13
1111091068567801856,RT @NDTVElections: BJP Announces 3 More Lok Sabha Candidates For Gujarat: The BJP Wednesday announced three… https://t.co/0DobhWOI05,2019-03-28 02:22:08
1111091052331585536,"PM @narendramodi keeps nation on tenterhooks for an hour 

READ: https://t.co/z05cr7cKTM

#IndiaSpaceSuperPower… https://t.co/dKaCAS9OS0",2019-03-28 02:22:04
1111091025777295360,"RT @NDTVElections: BJP Warns Legal Action Against Congress On Note-Exchange ""Fake-Video"": The BJP on Wednesday… https://t.co/NGLj3QX7H4",2019-03-28 02:21:58
