id,tweet,datetime
1110584386787770373,"According to Rahul Gandhi, the scheme will be on a ""surgical strike on poverty"".
https://t.co/RsR4BUpFMh",2019-03-26 16:48:46
1110584330303221760,"Match 5. 4.4: I Sharma to S Raina, 4 runs, 43/1 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:48:32
1110584300972306432,".@LRC_NDTV | ""We need to collect better job data"": Former RBI governor Raghuram Rajan to NDTV

Watch full interview… https://t.co/teelgR3vfX",2019-03-26 16:48:25
1110583739506147333,"Match 5. 4.1: I Sharma to S Raina, 4 runs, 37/1 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:46:11
1110583668622266368,".@LRC_NDTV | Former RBI governor Raghuram Rajan speaks to NDTV

Watch full interview here: https://t.co/Ij77lEb7Ev https://t.co/hcwgHp7kcI",2019-03-26 16:45:54
1110583622472327168,"10 runs off it, but it was a fiery over from @KagisoRabada25!

Lage raho boys, the wickets coming! 
 
#CSK - 33/1 i… https://t.co/08cIwJ40AT",2019-03-26 16:45:43
1110583503115051008,"#IndiaElects #LokSabhaElections2019
Where will the money come from for Rahul Gandhi's NYAY scheme? Congress'… https://t.co/qxOcq9ksjV",2019-03-26 16:45:15
1110583497104609281,"RT @HTSportsNews: #ManikaBatra splits with childhood coach, shifts training base to Pune

https://t.co/hdAe52JE85",2019-03-26 16:45:14
1110583425684000768,The only focus I have before me today is to ensure that I live up to the faith of the party leadership:… https://t.co/LOZQnpg1wg,2019-03-26 16:44:56
1110583396835700736,"Match 5. 3.6: K Rabada to S Watson, 6 runs, 33/1 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:44:50
1110583200974340099,"Match 5. 3.5: K Rabada to S Watson, 4 runs, 27/1 https://t.co/Z5xBx8hq76 #DCvCSK #VIVOIPL",2019-03-26 16:44:03
1110582995105153024,Bihar to Bengaluru: BJP's infighting woes. BJP mocked JD(S)-Congress infighting. Now faced with cracks within; Figh… https://t.co/FGeePXTmTK,2019-03-26 16:43:14
1110582970224500736,".@KagisoRabada25 IS INTO THE ATTACK!

Pace, bounce and intent. Let's get the next wicket! 👊

#CSK - 23/1 in 3.3 ove… https://t.co/ygi2aCU32y",2019-03-26 16:43:08
1110582729756807168,"#IndiaElects
BJP’s big list: Take a look at who is going to contest from which seat
#Countdown with… https://t.co/XPsYYwM2xa",2019-03-26 16:42:11
1110582487783108608,"#IndiaElects #LokSabhaElections2019
Principal economic adviser @sanjeevsanyal asks how will Congress pay for its NY… https://t.co/zi8UvOICbz",2019-03-26 16:41:13
1110582181783654400,"'Desperate' Congress coming out with fake documents: @nsitharaman 

Read: https://t.co/nolBXZjpqc https://t.co/HMDAKzRoLq",2019-03-26 16:40:00
1110582181095628800,"Time to #VoteOutProPakNetas? Playing Pakistan’s tune for a few votes? 

Join @PadmajaJoshi @thenewshour at 10:30 PM… https://t.co/MINi172yB8",2019-03-26 16:40:00
1110582160455430145,"US House to vote to override Donald Trump veto
https://t.co/1gmKozoKKD https://t.co/JMBtKTAMQ2",2019-03-26 16:39:55
1110581904992948224,RT @CricketNDTV: IPL 2019: WICKET! Ishant Sharma strikes early for Delhi Capitals. Chennai Super Kings lose Ambati Rayudu for 5 in chase of…,2019-03-26 16:38:54
1110581865214181376,"OUT! Ishant strikes, Rayudu departs, DC have their 1st wicket

DC: 21/1

#DCvCSK 

Live: https://t.co/SbrICGoIgV",2019-03-26 16:38:44
